Geschlecht;Familienstand;Alter;Kinder;Bildungsstand;Beruf;Jahresgehalt;Immobilienbesitz;Versicherungstarif
maennlich;ledig;26;0;Master;angestellt;64670;keiner;Tarif B
weiblich;geschieden;30;0;Lehre;arbeitend;31150;Eigentumswohnung;Tarif B
maennlich;verheiratet;63;0;Promotion;angestellt;66760;Eigentumswohnung;Tarif B
maennlich;geschieden;61;1;Lehre;selbständig;38100;Eigentumswohnung;Tarif B
weiblich;ledig;20;0;Bachelor;angestellt;111600;keiner;Tarif B
weiblich;geschieden;66;0;Bachelor;im Ruhestand;37800;Eigentumswohnung;Tarif D
maennlich;ledig;25;0;Bachelor;angestellt;56350;Eigentumswohnung;Tarif B
maennlich;verheiratet;48;3;Master;angestellt;83500;keiner;Tarif A
maennlich;verheiratet;43;2;Bachelor;selbständig;75700;Einfamilienhaus;Tarif A
weiblich;verheiratet;48;0;Bachelor;angestellt;76260;Eigentumswohnung;Tarif A
maennlich;verheiratet;29;1;Bachelor;kein;8800;keiner;Tarif A
maennlich;verheiratet;44;3;Bachelor;angestellt;81280;keiner;Tarif A
weiblich;ledig;13;0;Keine;kein;0;keiner;ablehnen
weiblich;verwitwet;42;2;Hauptschule;arbeitend;26640;keiner;Tarif B
weiblich;verheiratet;29;2;Lehre;kein;9100;keiner;Tarif A
weiblich;verheiratet;44;5;Abitur;angestellt;66960;keiner;Tarif A
maennlich;verwitwet;52;0;Master;verbeamtet;75780;keiner;Tarif A
maennlich;ledig;18;0;Keine;kein;0;keiner;Tarif C
maennlich;geschieden;37;3;Bachelor;angestellt;80900;Einfamilienhaus;Tarif A
weiblich;verheiratet;49;0;Lehre;arbeitend;33255;keiner;Tarif B
maennlich;ledig;63;0;Bachelor;arbeitend;31555;keiner;Tarif B
maennlich;geschieden;60;1;Hauptschule;arbeitend;27000;keiner;Tarif B
weiblich;verheiratet;75;0;Bachelor;im Ruhestand;44400;Eigentumswohnung;Tarif C
weiblich;ledig;52;0;Bachelor;angestellt;59200;Einfamilienhaus;Tarif B
maennlich;verheiratet;44;0;Bachelor;angestellt;60040;Mehrfamilienhaus;Tarif A
maennlich;verwitwet;45;2;Bachelor;angestellt;64950;keiner;Tarif A
maennlich;verheiratet;45;0;Lehre;selbständig;40500;keiner;Tarif A
weiblich;ledig;14;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;34;4;Bachelor;kein;9200;keiner;Tarif A
weiblich;verheiratet;32;2;Abitur;angestellt;65080;keiner;Tarif A
weiblich;geschieden;45;0;Bachelor;selbständig;74800;Eigentumswohnung;Tarif B
weiblich;verheiratet;66;1;Lehre;arbeitend;26790;keiner;Tarif B
maennlich;verheiratet;54;0;Master;angestellt;69660;keiner;Tarif A
maennlich;ledig;16;0;Keine;kein;0;keiner;ablehnen
weiblich;ledig;17;0;Keine;kein;0;keiner;ablehnen
weiblich;verwitwet;79;0;Abitur;arbeitend;34210;keiner;Tarif C
maennlich;verheiratet;71;1;Realschule;im Ruhestand;38300;Eigentumswohnung;Tarif B
weiblich;ledig;18;1;Keine;kein;0;keiner;Tarif C
maennlich;verheiratet;55;0;Bachelor;verbeamtet;95900;Einfamilienhaus;Tarif A
weiblich;ledig;17;0;Realschule;kein;0;keiner;ablehnen
weiblich;geschieden;38;2;Abitur;selbständig;103600;Einfamilienhaus;Tarif A
weiblich;verheiratet;59;0;Bachelor;arbeitend;34800;Eigentumswohnung;Tarif B
weiblich;verheiratet;28;2;Abitur;angestellt;84240;Eigentumswohnung;Tarif A
maennlich;geschieden;55;0;Lehre;angestellt;85800;Einfamilienhaus;Tarif A
maennlich;ledig;26;0;Bachelor;selbständig;58300;Einfamilienhaus;Tarif B
maennlich;verwitwet;30;0;Lehre;kein;8300;keiner;Tarif B
maennlich;geschieden;40;1;Keine;angestellt;57600;keiner;Tarif B
maennlich;verheiratet;73;0;Lehre;arbeitend;29875;keiner;Tarif B
maennlich;ledig;54;0;Master;angestellt;39180;keiner;Tarif B
maennlich;ledig;72;0;Realschule;im Ruhestand;30700;keiner;Tarif C
maennlich;geschieden;61;1;Abitur;selbständig;72200;keiner;Tarif B
weiblich;verheiratet;26;1;Abitur;selbständig;45400;keiner;Tarif A
maennlich;geschieden;54;0;Lehre;arbeitend;30890;keiner;Tarif B
weiblich;verwitwet;82;0;Lehre;selbständig;102000;Mehrfamilienhaus;Tarif B
weiblich;ledig;6;0;Keine;kein;0;keiner;ablehnen
maennlich;ledig;16;0;Keine;kein;0;keiner;ablehnen
maennlich;geschieden;47;0;Hauptschule;arbeitend;31230;keiner;Tarif B
maennlich;ledig;58;0;Lehre;kein;9700;keiner;Tarif B
weiblich;ledig;19;0;Keine;kein;8700;keiner;Tarif C
maennlich;ledig;28;0;Master;verbeamtet;90140;Einfamilienhaus;Tarif A
maennlich;verheiratet;51;0;Bachelor;angestellt;52425;Einfamilienhaus;Tarif A
maennlich;verheiratet;38;2;Lehre;arbeitend;26560;Eigentumswohnung;Tarif A
weiblich;verheiratet;33;2;Bachelor;angestellt;62125;keiner;Tarif A
maennlich;ledig;15;0;Keine;kein;0;keiner;ablehnen
weiblich;ledig;9;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;27;1;Bachelor;angestellt;86915;Eigentumswohnung;Tarif A
weiblich;ledig;38;0;Lehre;angestellt;76830;Eigentumswohnung;Tarif B
weiblich;geschieden;60;1;Lehre;arbeitend;27100;keiner;Tarif B
weiblich;verheiratet;21;1;Abitur;kein;8600;keiner;Tarif B
maennlich;ledig;21;0;Bachelor;selbständig;42500;keiner;Tarif B
maennlich;ledig;14;0;Keine;kein;0;keiner;ablehnen
maennlich;geschieden;44;2;Lehre;kein;8500;keiner;Tarif B
maennlich;verwitwet;38;0;Lehre;arbeitend;30720;keiner;Tarif B
weiblich;ledig;11;1;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;63;0;Lehre;arbeitend;32870;keiner;Tarif B
maennlich;geschieden;77;1;Lehre;selbständig;70400;Einfamilienhaus;Tarif B
weiblich;geschieden;53;0;Abitur;kein;8800;keiner;Tarif C
maennlich;verwitwet;63;0;Bachelor;angestellt;82540;keiner;Tarif B
maennlich;verwitwet;79;0;Bachelor;selbständig;55400;keiner;Tarif B
weiblich;geschieden;24;2;Promotion;angestellt;94740;keiner;Tarif A
weiblich;verheiratet;30;1;Abitur;angestellt;84700;keiner;Tarif A
maennlich;ledig;22;1;Realschule;kein;9000;keiner;Tarif B
maennlich;verheiratet;24;0;Lehre;angestellt;34660;Einfamilienhaus;Tarif B
maennlich;verheiratet;26;0;Bachelor;selbständig;67200;Eigentumswohnung;Tarif A
weiblich;ledig;64;0;Lehre;kein;8600;keiner;Tarif C
weiblich;ledig;80;0;Lehre;angestellt;99600;keiner;Tarif B
weiblich;geschieden;72;1;Bachelor;arbeitend;23500;keiner;Tarif B
weiblich;verwitwet;77;0;Lehre;selbständig;48200;Einfamilienhaus;Tarif C
weiblich;verheiratet;30;3;Realschule;verbeamtet;73600;keiner;Tarif A
maennlich;geschieden;24;0;Bachelor;verbeamtet;88100;Eigentumswohnung;Tarif B
maennlich;geschieden;47;4;Bachelor;angestellt;123155;Einfamilienhaus;Tarif A
weiblich;ledig;15;0;Keine;kein;0;keiner;ablehnen
maennlich;ledig;61;0;Lehre;kein;9300;keiner;Tarif C
weiblich;ledig;13;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;46;0;Lehre;kein;9100;keiner;Tarif B
maennlich;verwitwet;47;2;Bachelor;verbeamtet;46850;Mehrfamilienhaus;Tarif A
maennlich;ledig;29;0;Bachelor;angestellt;92785;Eigentumswohnung;Tarif A
maennlich;verwitwet;83;0;Bachelor;selbständig;57400;keiner;Tarif B
maennlich;verheiratet;31;1;Lehre;selbständig;99800;keiner;Tarif A
weiblich;verheiratet;24;2;Promotion;verbeamtet;86800;Eigentumswohnung;Tarif A
maennlich;verheiratet;35;0;Bachelor;angestellt;62750;keiner;Tarif A
